ID,PA,lat,lon,x,y
215995,1,38.14,-8.96,662017.9283,-67456.28882
215996,1,41.33,-9.27,606459.1696,283801.7466
215997,1,39.31,-9.55,600631.8942,58102.76387
215998,1,40.4,-9.42,602240.5066,179751.8726
216000,1,40.18,-9.07,633861.3503,157761.1693
216001,1,39.31,-9.55,600631.8942,58102.76387
216002,1,39,-9.67,592916.401,22963.56614
216003,1,37.4,-9.32,636958.2174,-151974.8623
216004,1,40.23,-9.11,630010.0878,163022.0802
216006,1,36.91,-8.17,743118.0166,-197634.2377
216009,1,39.49,-9.43,609374.4144,78846.20107
216011,1,37.65,-8.98,664691.0971,-121877.4702
216013,1,38.35,-9.14,644446.3047,-45475.26459
216015,1,40.11,-9.27,617533.4833,148626.463
216016,1,36.97,-7.57,795637.792,-185991.3305
216017,1,40.33,-9.03,635856.046,174659.4105
216018,1,37.7,-8.94,667753.0915,-116049.4519
216020,1,38.67,-9.67,595662.2953,-13607.44024
216021,1,39.29,-9.45,609394.2684,56550.05367
216022,1,38.89,-9.92,572224.8038,9178.095382
216027,1,39.31,-9.55,600631.8942,58102.76387
216029,1,37.8,-9,661589.1396,-105406.6352
216030,1,36.84,-7.48,804982.1154,-199596.7108
216031,1,41.47,-8.92,634281.9865,301720.0154
216033,1,39.31,-9.55,600631.8942,58102.76387
216034,1,41,-8.9,640465.0755,249798.9676
216035,1,41.66,-9.11,616696.3448,321447.4229
216036,1,41.42,-8.87,638923.4403,296534.8824
216037,1,41.16,-8.8,647282.8515,268235.1129
216038,1,38.56,-9.23,634766.0925,-22838.07395
216040,1,36.82,-8.68,698734.0405,-211580.0956
216041,1,39.45,-9.33,618293.426,75087.75919
216044,1,39.33,-9.45,609048.0809,60982.54256
216045,1,36.8,-7.74,782349.3095,-206257.9278
216046,1,40.15,-9.04,636683.0972,154647.5435
216047,1,37.01,-8.63,701410.0829,-190162.0471
216048,1,41.42,-9.17,613957.7856,294449.7081
216049,1,36.95,-8.98,670940.0563,-199408.3925
216052,1,39.98,-9.27,618700.9528,134222.1055
216053,1,41.47,-8.92,634281.9865,301720.0154
216054,1,38.6,-11.59,429472.7696,-32121.44206
216055,1,36.94,-8.1,749024.1957,-193747.4775
216058,1,39.4,-9.64,592142.095,67487.77404
216059,1,37.35,-8.94,670906.0894,-154815.7076
216062,1,40.87,-9.03,630801.7917,234483.3324
216065,1,38.31,-9.02,655249.3738,-49055.56032
216066,1,40.29,-8.98,640460.3891,170579.9433
216067,1,37.38,-11.61,434911.5272,-167511.9011
